filename,filesize,modified,errors,sha1,namespace,id,format,version,mime,basis,warning
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A8894.TIF,90157215,2018-04-20T15:25:28-04:00,,7a77ca60bd306e26c2cc1c5899896bf92c4cfa84,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A8939.TIF,137148382,2018-04-20T15:25:28-04:00,,242260bc0a2edb9ec993efc32bd3c97666d49dfa,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9070.TIF,133686652,2018-04-20T15:25:28-04:00,,2215b96da56bf7ea412a403494a8e712505bde9e,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9107.TIF,137046208,2018-04-20T15:25:28-04:00,,3f5e4b4358b3cfd4a439ab4c66f5b8a7c7c9eeb4,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9126.TIF,117227557,2018-04-20T15:25:28-04:00,,0c9abd9cf7e5fcedb6f2564c75e5da4d2477ad2a,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9163A.TIF,125170302,2018-04-20T15:25:28-04:00,,a110fd8aab79676a3c87ad9d5acc685101bc3a7c,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9224.TIF,131771077,2018-04-20T15:25:28-04:00,,9208da1515b27a608b1281c4f280615a9f3ae632,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9244.TIF,136029070,2018-04-20T15:25:28-04:00,,dc1452e958f598a8e046d4a72365190f8e877abd,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9319.TIF,126785717,2018-04-20T15:25:28-04:00,,84803c289fe3196f8f4d5dfb87c00434c01b7903,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
/d/acquisitions/2018-0034/objects/aquarius-mission/TIFF/_25A9362.TIF,125520200,2018-04-20T15:25:28-04:00,,b7fa2cf6b6bd3ab817ff1762e44e786808da530b,pronom,fmt/353,Tagged Image File Format,,image/tiff,"extension match tif; byte match at 0, 4 (signature 1/2)",
